40  30  
 860  304 1132  781  466 1115 1050  637  150  863  910   92  460  805  508  889  656  547  657  250  137  239  719  550  661 1157  824  842  573 1003
 554  861  946  456  497  870  622  788  179   12  321 1162  533  633  808 1113  747  108  488  553  668 1169  245 1029  601  151  263 1060  655  847
 281  862  335  886  350  911  695  615 1076  383  670  272  476  233  407  712  645  229  400  999 1148  814  524  916  103 1066  665  760    1  452
 490  857  600  149  261  756  422  138  841 1172 1151  213   72 1026  296  817  530  627 1096  118  206   60  105  183  919 1008  264  462  563   85
 749 1010  567  991  234  709  940  445 1079  388  678  286  201   51   89  755 1021  800  199  948  159  577  710  942  448  184   22   37 1164 1136
 787  778  160 1180  565   88  154 1170  882   43  675 1181 1167 1142 1098 1020  585  124  816  827  848  283  495  266 1064  962 1084  996  243  424
 142  883  646 1130  776  158 1176  558   77 1034  608   62  408  714  949  161  881   42  673  110  492  561  981 1116  152  465  813  222  387  978
1110  143 1150  512  295  257  750  346    5  763  435  866  616 1077  385   73 1027 1118 1022  888   54  394  689  305  632 1106  736  988  828  584
 722  963 1085  998  846  880  640  519  308  838  566  990 1007  262  759  427 1047  933  132  830 1152  236  713  648  409 1015  258 1052 1119  447
  19  333  282  494  461  207  707  638  527  187  628  198  477  535  636  513  897   69  120  509  890  357  325  568   93 1063  404  107 1087  402
 403  705  634  209  965 1088  704  631 1104  731  979  822  539  643  825  742  246  130  548  358   27  647  232  405  649  835  560  380  364  337
 589 1030  902  379  663  559   78  437  164  913  397  395   90 1057  612  170  572  401  101  176   44  676  265  660 1154  277  785  773  341 1197
 594 1040  620  484 1146 1105  610   66  715  650  837  463  510  591  734  985  823  840  845  878 1189   41  371  349 1067  366  671  874  799  498
1171 1149  511  140 1144  501 1177  259  569  481 1155 1121  943  450  486  551  774  153  868  708   38  966  790  783  769  146  854  515  602  753
 117  241  121 1111 1078  386  280  190  389  681 1191 1184  871  624  791  784  772  751  414  423  441  471 1123 1065   36   63 1093  412 1045  347
 306  536  771  711 1013 1002  254  744 1001  852  290 1107  839 1061  356  623  932 1031  904  982 1117  155  571  699 1089  189  331  578  586  425
 849 1186  275  480  540 1128 1055  345  604 1056   48   84  782  768  144  552  696  918  106 1165  642  271 1074  679  587  127  491 1160  529  625
 493 1163  936  268   29 1137  621 1086   99  473   57 1000  662 1158  826  129  225  980  973  502 1178 1161  831 1044  926  210  368  644  526   20
 934  135  487  252  740  994 1140 1095  276  770  147  557   74  428  449  850  726   70  653  843  575  186  925 1018  267  467 1054  434 1059  353
 917  104  482  244  188  629  200  950 1062    6  310  542  683  896  367  342  898  672 1175  224  534 1058  352   15  720  855  455  766  391  384
 372   50  977  291  525   18  931  993  237  415  970 1097 1109  440  969  795  396  392  581  417  730  677  284  196 1199  941  746  794  706  887
 651  723  961  182  318  674  921    3  905   83  444  177  167  909  690  908   80  439  168 1194  453  780  764  269  470  521  912  995    7  313
 716  317  293  363   35  514  900  374  954 1070  126  220   71  136  537  145 1153  517  609 1041  786   82  703  330  877  935  516 1134  741  242
1023  590  133 1103  430 1053 1198  596   98   10  617  613  173  603   96 1192  500  256 1048  733  382  968  691  815  485  659  903   79  892  556
 688  249  687  302   25  429  761  732 1090   67   75    4  907  987 1127  287  802  203  354  619  298  520  745  329  375 1147  833  320  859  216
 884 1195  292  885  582  419 1032  906  727   40  369  796  793  626 1037  914  399  698  192    9  309  811    8  451  562  895  338  809 1028  899
 373  496 1138 1091 1009  915 1190  194  339  593 1168  844  307  297 1120  468  989 1131  479  538  971  499  872  393  718  324 1016  278  964  777
 606 1122  956   34   59 1135   21  336 1102  599  748  109  858 1200  300 1143  658  251  738  641  221  986  332  652  122 1112 1006  829  812  162
 944  231 1004 1156 1081  443  174   28  348  765 1039   31 1099  123  214  580 1014  532  729  975  506 1185  180  238  334  420 1035  311 1038  218
 717  955 1124  891  359  328 1174 1196  984  693   13  922  413  920  972 1188  579  273  100  775  901  227   97  169   81  442 1073  894  549  960
  23  156  555  418  564  340  595 1126  446  421  737   26  377  360 1101  426  598 1046  469   17  957  474  459  504  541  930  113  583  119  208
 588  694  314 1005  864  312  546  355  288   55  217  592  576  114  686  664  215  945    2  724  792   30   53  279  951  464  211  700  924 1017
 789 1141  797  128   64  112 1012  680  289  806  285  928  230 1179  457  798  869  692  611  223   39  362  219  522  939  743  102 1025 1182  669
 270  327  929  725 1183 1043   24  202   95  545  319   86  191  303 1129  983   33  958  757  967  779  163  472  406 1011  172 1133  248  684  157
 875  879   45  531  351  614  754 1033  294  148 1159  528  635  483  134  834 1139 1092  411  370  804  807  818   91  503  171  166  953  767  433
 125  518  274 1069  574  475  322  178  605  131  728  523 1036  431  212   49  315   47  195  597  853  398   46  228 1068   94  801  803  205  458
 438  376  175  197  226  992  836  923  416 1083  316 1193   52  478  361  344  489  255 1024  639  630 1100 1072  115  505  735  666  865  436   56
 997 1019 1173  721   65  682  204  952  165  323 1082  867 1125 1042  618  873 1075  927  141   87  390 1080  410  937   76   14  116 1187   11  701
 326 1071  974  193 1166  301  111  432  832  139  185  702  893 1051  570  876  507   61  235  821  976  454  959   58 1094  343  758  260  247 1108
 856  381  378  752  810  762  607  739  365  253 1145  819   16  299  667 1114   32  820  851  947  543  697   68  938  544  181  654  240 1049  685

